Nama Aplikasi,Nama Pengguna,Komentar,Rating,Tanggal Ulasan
Viu,Febri Kurniaputri,Saya suka viu versi sebelum nya. Setelah di update aplikasi tidak lagi menyenangkan,1,10/3/2023 14:31
Viu,Rusliana Alibaba,Baik dan bagus,5,10/3/2023 14:29
Viu,Ananda Eka wandira amelia,bagus sih tapi gak bisa cari film yang kita mau,3,10/3/2023 13:04
Viu,Midi Tarmidi,"Awalan baik... Tapi lama kelamaan viu bikin syebell, iklan yang di ulang trus, mana banyak. Trus gangguan jaringan, padahal jaringan sy baik baik saja huhh bikin kesel setiap buka viu",1,10/3/2023 12:55
Viu,swari ayu,Banyak banget anjrrrrrr iklan nya tapi gpp,5,10/3/2023 11:09
Viu,Líng xuě,Viu skrng untuk drama lama kok Ndak ada ya kayak Jewel in the crown/dong yi padahal drama itu bagus kok Uda di hapus,3,10/3/2023 6:35
Viu,Yang Ayang,Banyak iklan ..dan terjeda2.jd aq uninstal,1,10/3/2023 5:29
Viu,tanpa,Update versi baru lebih bnyak iklan dan lebih ribet,1,10/3/2023 4:32
Viu,Lucky Pratama,"Gak ngotak iklannya, biar film nya baru berjalan 5 menit udah ada ilklan lgi durasi iklan nya jg lamat banget gak ada buat skip jg, terlalu memaksa orang biar mau premium yang ada gak ada yg make jg klau gini",1,10/3/2023 2:41
Viu,Hanafi Abdillah,Ayo lah bangggg kenapa banyak iklan apa lagi iklan kredivo jangan banyak banyak la bang iklan nyaaaaa.Bang aku gk suka iklan kalau ku hitung² iklan nya ada 1000 lebih bang di 2 episode,2,10/3/2023 2:38
Viu,Zzar zar,"Ya Allah emang paling bener tuh gak usah update aplikasi kalo gak siap sama perubahannya. kembalikan tampilan lama dong tolong. mana sekarang kalo di close trs mau nonton lagi gak langsung ke menit terakhir ditonton, malah balik awal lagi. gak kayak dulu.. trs juga masa downloadnya sekarang cuma 7 hari, pdhal dulu bisa 30 hari 15 hari huhuu.",1,10/3/2023 1:19
Viu,Embun Rahadyandamar,meh nayangke film po iklane nyok gur kebak iklan tai,1,10/2/2023 17:19
Viu,Kasir kasiro,Ok sakali lima,5,10/2/2023 16:39
Viu,Mala,Nonton Viu❌ Nonton Iklan ✅🥴,1,10/2/2023 16:19
Viu,07_Ayu Sriwijaya Vika,viu sekarang sering loading mana lama banget lagi pdahal kalau lihat apk lain jaringan lancar2 aja,3,10/2/2023 16:00
Viu,Atika Hanum,"Lagi nonton extraordinary you tb' kok hilang kdramanya ""maaf!video ini tidak tersedia lagi"" begitu.Pdahl lgi seru'nya gjls bgt viu",1,10/2/2023 14:19
Viu,Tika F.h,"Pliss ini ngapaa jadi gini aplikasinyaa😭😭 maaf bangett yaa tapi lebih bagusan yang dulu buat experience nya juga lebih enakan yang duluuu, sekarang tampilannya udah gak rapii, bikin bingung, terus bikin pusing jugaa liatnyaa, tolong dongg dibenerin kalau emang mau di upgrade kayak kompetitor sebelahh tolong dimaksimalkan atau enggak balikin kek dulu ajaaaa lebih enak diliatnyaaa, gregett bangetttt semogaa cepet dibenerin yaaa semangatt buat tim pengembang&desain🙏",3,10/2/2023 13:57
Viu,dina dwi tantini,"Ini VIU kenapa yaa?? Udah lama langganan premium, tiba2 kok berubah jadi gratis padahal udah bayar buat perpanjang premium. Tolong dong ini gimana. Nonton ada iklannya semua mau lanjutin nonton 7 escape nggak bisa malah disuruh update premium.. Lah gopay aku dah kepotong buat perpanjang.",1,10/2/2023 13:16
Viu,Masterpiece Movie Channel,min untuk Knowing Brother eps 403..tayang senin ini kenapa belum update. dari pagi sudah info belum juga. tapi di aplikasi lain sudah ada. m,5,10/2/2023 9:04
Viu,Ayu bangka selatan,Terlalu bayak iklan,1,10/2/2023 8:58
Viu,nadya putri,"LAGI SERU SERUNYA NONTON EXTRA-ORDINARY YOU, MALAHHHH ILAANGGGG FILM NYAAA, ENTAH KENAPA TIBA TIBA TIDAK TERSEDIA, UDAH DICARI BERKALI KALI TETEP AJAA GABISA. MALAH MUNCUL TULISAN ""Tidak ada yang cocok. Coba gunakan kata kunci yang berbeda."" kenapaa coba, Allahuu. padahal lagiii seruuu episode nyaaa, mau nangissss😭😭😭😭",3,10/2/2023 8:46
Viu,Hana Sugandi,Terlalu banyak iklan,1,10/2/2023 8:27
Viu,Nisa Luthfiyani,"Langganannya murah, dan dramanya banyak. Jd ngga perlu bingung2 pengen nonton drama korea lagi...",5,10/2/2023 7:33
Viu,Super Of,"Terlalu banyak iklan,saya harap Pihak aplikasi bisa mengurangi iklanya",1,10/2/2023 6:42
Viu,Saka Dnze,Terlalu banyak iklan bisa 5 menit sekali.,1,10/2/2023 4:31
Viu,meylani,Isi Vidio nya emng bagus tapi kebanyakan iklan anj 1 garis 2 iklan tolol bgttt gw dah sabar yaa!!!!!,1,10/2/2023 4:08
Viu,Nur Hayati,"Dear viu,,terlalu banyak iklan",1,10/2/2023 3:19
Viu,Toko 3R_sukabumi,subtitle selalu ber ubah,1,10/2/2023 3:15
Viu,Anis permata,"Kenapa setelah di update loading nya lamaaa.......banget sumpah ,10menit belum tentu muter itu video , gimana sih viu , update bukannya lebih baik eh malah lebih busuk",1,10/2/2023 2:29
Viu,Fadjrina Ululazmi,Gak bisa lihat drama di viu jaringanya juga bagus trus saya punya paketan kok gak bisa lihat drama ya setelah di update gak bisa lihat vidio / darama kalau sebelum di update saya lebih enak viu yang dulu. Bukanya yang sekarang gak bisa lihat drama kalo lihat drama layarnya hitam terus . Trs muncul kata SAMBUNGKAN JARINGAN YANG LEBIH NORMAL. Bukan karna iklan Saya lebih suka viu yang duluuuu Mohon di perbaiki!!!!,1,10/2/2023 1:09
Viu,LiTeila ™,Hahaha.. Ok setelah ku cari viu versi lama di Brouwer kuota gratis viu dari axies bisa di pakai lagi yey..,4,10/2/2023 0:21
Viu,Aceng Misbahudin,Maaf aku kasih bintang 1 soalnya iklanya banyak bngt tolong hilangin iklanya arau apake gitu serius dulu itu aku suka bngt sama ini apk tapi srkarang jadi gk terlalu suka soalnya setiap mau nonton pasti iklan atau setiap mau cari film pasti iklan mohon bantuanya,1,10/2/2023 0:18
Viu,Maher R,Kenapa ya viu sekarang susah loading,1,10/1/2023 17:10
Viu,AL Ayashin,"Baru mau lanjut nonton iklannya ulang sampe 6x alias 3 menit, parahhhh 1 menit sih masih bisa di tolerir lahh Tpi ini sampe 6x alias 3menit 😂 Belom lgi iklan iklan selanjutnya wkwk ampun deh",1,10/1/2023 16:45
Viu,Leo Be,Kebanyakan iklan taikk,1,10/1/2023 16:29
Viu,Hadi Nata,Ok sayang untuk nonton iklannya ada iklan,2,10/1/2023 16:10
Viu,Sigit Channel,Saya coba2 dulu download aplikasi VIU.,5,10/1/2023 15:22
Viu,Dapur Bundev,Saya sudha batalkan langganan bulan sebelumnya..kenapa dana saya masih terpotong dan tidak dikembalikan??,4,10/1/2023 13:31
Viu,Nina modok,jelek bangat aplikasinya.. dicari judul gak pernah ketemu,1,10/1/2023 13:28
Viu,Azzan Khan,Viu aplikasi bagus untuk nonton filem,5,10/1/2023 11:52
Viu,Ahmad Muliansyah,"Iklannya muncul trs, mana gabisa diskip lagi.",1,10/1/2023 11:33
Viu,Sri Andriyani,"Viu sekarang gak bagus. Udah daftar premium tetep aja gak bisa dipake. Coba login pake nomor HP yg daftar premium, gak bisa kirim OTP, masuk pake email, katanya pengguna udah login, tapi tetap aja premiumq gak bisa dipake... Udah 2 kali loh, daftar premium gak kepake... penipuan tau nggak...!!!",1,10/1/2023 10:52
Viu,Wiliana Khumayrah,Hp aku jadi ga lemot dan pemakaian nya juga mudah dan bisa langsung dagang,5,10/1/2023 9:20
Viu,Zimbran Ardhio,"Bintang 1 kebanyakan iklan,buang buang waktu",1,10/1/2023 6:36
Viu,Gita Bae,Ini noton iklan apa noton drama dah???? baru mau noton iklan udah 5 biji mulai dramanya pun belum samsek ini mah noton iklan gaje bat ni app abis abis in paket ini mah gua download buat noton drama bukan noton iklan!,1,10/1/2023 4:31
Viu,Sitri Ningsih,"Bagus, hanya please iklannya jangan kelamaan dan kebanyakan. Kuota ku hanya untuk melihat dramanya bukan iklannya",4,9/30/2023 17:39
Viu,Asep Rohendi,"Kira kira dong iklannya,,, 1 episode bisa 20x lebih iklannya 👎👎👎 lu kira gue nonton gak pake kuota. Iklannya udah kek sinetron Indosiar. uninstall aja... goodbye",1,9/30/2023 16:36
Viu,Syafa Syafa,Aplikasinya bagus bgt. Cuma agak nge leg dikit. ^_^,5,9/30/2023 14:47
Viu,Sovhia,Fitur basic seperti skip intro belum ada sedikit mengecewakan,3,9/30/2023 14:36
Viu,Xiao Zhu,Terlalu banyak iklan mohon di kurangi iklan nya,2,9/30/2023 13:25
Viu,Fitria Sundoro,Sebenarnya bagus bangett apk ini aku sampe gk bisa ber word word lagii drakor nya juga seruuu banget selain itu ada juga series lain selain drama Korea. Cmn aku kurang suka krn ada beberapa drakor gk ada di sini contohnya revenge of others. Terus kadang banyak iklan juga jadi nonton nya terganggu,5,9/30/2023 13:03
Viu,tatihh 23,Aplikasi bintang 5 pokoknya,5,9/30/2023 12:21
Viu,Wafa Alya Nabilla,"padahal udah berlangganan 1 bulan. pas apknya dihapus dan login lagi, loh kok jd ada iklannya pdhl masa berlangganannya masih lama. jd maap aja bintang 1",1,9/30/2023 11:11
Viu,Nanda Marsella,"Bnyak skali iklan,, bukannya nonton drama malah nnton iklan doang",1,9/30/2023 10:43
Viu,Murni Hussein,Sumpah bener. Mau nonton Drakor aja harus skip iklan lebih dari 3 🤣🤣. Geram jadi nya. Kenapa ribet bener sih mau nonton aja🤣🤣🤣,1,9/30/2023 10:19
Viu,Ad Ade,Banyakan iklan jadi males nontonnya.... Terpaksa di hapus,1,9/30/2023 10:15
Viu,Indriani Dianingsih,udah langganan premium tapi masih ada iklan,2,9/30/2023 10:09
Viu,Badrus Sony,Tolong buat admin viu drama indonesia nya di tambah lagi dong seperti drama MANTAN TAPI MENIKAH DAN DRAMA PROGRES NYA BERAPA PERSEN masak drama indonesia cuman 2 aja yang bagus tolong di tambah ya min,5,9/30/2023 9:44
Viu,Adi Poniran,Gila iklannya banyak banget,1,9/30/2023 9:33
Viu,Ardini Putri,"bagusan yg lama viu ny , ini knp iklannya bnyk bgt hampir 4 iklan lewatin lama bgt tolong iklany hilangin biar enk nonton ny trmksi 🙏🙏",5,9/30/2023 9:20
Viu,Yeyendra Chen,Tiba2 aplikasi ini perpanjang sendiri. Potong pulsa.,1,9/30/2023 9:13
Viu,Fikri Hakim,"Iklan 5 gk bisa di skip,,,,baru nonton 10 menit iklan muncul lagi,durasi iklanya gk ngotak bisa sampai 2 menit",2,9/30/2023 7:36
Viu,Sahmat Bae,"Aplikasi hanya buat kepentingan iklan doang,",1,9/30/2023 7:04
Viu,nurul hikmah,Semakin banyak iklan nya,1,9/30/2023 6:54
Viu,Fujika Posangi,iklan kurang banyak nih 4-6 kali mana lama banget makin malas mau nonton disini,1,9/30/2023 5:58
Viu,Dea Dea,Loading nya lama!!!!,1,9/30/2023 5:48
Viu,Noor Hasanah,"SAYA SDH LANGGANAN VIU TP SELALU MINTA UPDATE LANGGANAN, NGK BS AKSES UTK NONTON, TOLONG BANTU DI CEK",1,9/30/2023 5:23
Viu,Widhi Widh,Balik ke viu lagi tolong dong jangan ke banyak iklan 2 bintang dulu bagus video nya,2,9/30/2023 5:10
Viu,Revinaaa aulia fitri,"apk nya bagus tpi terlalu banyak iklan jdi kenganggu pas nontonnya, tolong iklan nya di kurangi 🙏",2,9/30/2023 4:24
Viu,Dewi Anggraheny,"Terlalu banyak iklan, malah kaya brasa nonton iklan daripada filmnya, misal ntn filmnya 5mnit iklannya bisa 15mnit sendiri, mana iklannya bisa sampe 6x gabisa diskip pun",1,9/30/2023 4:22
Viu,Ren Yosis,Kebanyakan iklan si,1,9/30/2023 3:42
Viu,Ina Karina,Jelek banget nonton iklan doang,1,9/30/2023 3:33
Viu,ahmad Zain,apk gilaa bukannya nntn film malah nonton iklan bodoh,1,9/30/2023 2:46
Viu,Zahara,"Sebenarnya bagus si, tapi terlalu banyak iklan,walaupun tidak premium, tapi gak sebanyak itu jg, iklannya di tengah drama berlangsung🥲 cepek deh mana banyak lagi iklan nya",2,9/30/2023 2:46
Viu,nayla,"viu skrg lemot bngt ga ky dulu, dulu jg abis nonton ada pemberitahuan terakhir nonton smpai eps brp skrg gaada udh di cari kmn"" bikin pusing, enakan viu lama.",3,9/30/2023 1:59
Viu,Choco no1,"Untuk bagian subnya tolong di tambahkan background, karena setelah di update, bagian subnya jadi tidak terbaca 🙏🏼",2,9/30/2023 1:27
Viu,Ayuk 123,TERLALU BANYAK IKLAN MEMBUAT KETIDAK NYAMANAN PENONTON!!!!!!,1,9/30/2023 0:57
Viu,Edi,Bagus baget q suka,5,9/30/2023 0:45
Viu,Mauza Milea,"Habis di update malah ga bisa login ulang. ERROR CODE A0004. Suruh cek koneksi padahal buka aplikasi yang lain juga bisa. Download ulang juga sama. Padahal udah langganan. Jadi males, kalo 1x24 jam ga beres2 ini mah hapus aja lah...",1,9/29/2023 23:54
Viu,Monicc Abigail,Cocok buat nonton iklan,1,9/29/2023 23:27
Viu,FIFANCO,Versi lama lebih bagus 🥲,1,9/29/2023 23:25
Viu,Alvina Dewi,"Apk nnton drakor paling ga guna, mau nonton drama apa nonton iklann mending pake apk loklok",1,9/29/2023 20:11
Viu,Nazillatul Rohmah,"Terlalu banyak iklan jadi nontonnya gak efektif ,, gak nyamn banget ,, lama"" buat emosi karena iklan muncul truss.",2,9/29/2023 19:01
Viu,Liana Dwi Lestari,Gila sih iklanya banyak bgt mana di ulang ulang terus lagi,3,9/29/2023 16:11
Viu,Luqman Hakim,"Tampilan display pas update jadi makin kuramg bagus yaa, mending yang kayak dulu lebih simple, nyari drakor atau variety show juga ga ribet kayak sekarang yang langsung di play di eps terbaru.",2,9/29/2023 15:51
Viu,Khourum Zian,"Bagus, tapi banyak iklannya Menurut saya di kurangin aja iklannya soalnya menggangu bgt kalo iklan nya 1/2 gapapa lah oke Tapi ini 1× iklan lgsg 4kali gt di tayanginnya Ngerti ga sih Ya pokoknya gt.",3,9/29/2023 15:30
Viu,Ardian ello,kenapa viu skrang kayak gini dlu mau paketin paket premium gampang banget sekarang kenapa susah banget mau paketin haduh bikin kesel banget udah sesuai yg di perintahkan customer servis masih ga bisa buat di paketin,2,9/29/2023 14:48
Viu,Tyas Puspitasari,"Terlalu banyak iklan, coba dikurangi iklannya",1,9/29/2023 14:35
Viu,Evie ardianti,"Versi dulu lebih asik. Sekarang klw gak langganan buanyak bngttt iklanya, baru nonton bbrp menit udh iklan 3x lagi iklanya, udh banyak platfrom buat nonton film yg ilegal pun merajalela, saran aja klw mau banyakin pelanggan kurangi iklan nya, pantesan aja yg lain pada pindah ke Te****, aku penasaran doang gk langganan gimana teryata.....",2,9/29/2023 13:53
Viu,Ganda Dewata,Apk banyak iklan kapan nontonny kalau iklan mulu,1,9/29/2023 12:48
Viu,Nuke Pradita,Gilaaaa iklan terussss ndak ada habisnya. Dari 1 eps total 1 jam penayangan iklan bisa lebih dari 50 kaliiiii,1,9/29/2023 12:29
Viu,Rahma Wati,Gk pernah sya update tiba2 udah ke versi baru..kaget dong bukan mempermudah malah bikin sulit.dan sangat menyebalkan iklan banyak dan lama sekali..bayangin yg gk pake wifi iklan numpuk pasti ngabisin kuota. mana iklan lama banget ada 3 4 iklan sekali muncul mw nonton aja gini amat.,1,9/29/2023 12:17
Viu,Nisa,"Pas udah update bukannya malah bagus malah makin buruk,akunnya keluar mulu mana loginnya susah di suruh daftar mulu kan jadi download berkali kali dih.",2,9/29/2023 11:49
Viu,Kenia Meilyani,"ini aplikasi viu no premium ketika mau nonton film kok iklan banyak bgt? gilasampe 4x iklan. org jadi males download aplikasi viu, ga ngotak iklan nya",1,9/29/2023 11:38
Viu,Michael Sianturi,"Tau nya kami bang kalian butuh makan tapi gak iklan juga terus Udh lah iklan nya sampe 30s, 2 iklan lagi anj",2,9/29/2023 11:37
Viu,Kinara 12,"Terlalu banyak iklan,baru nonton udah iklan",3,9/29/2023 11:34
Viu,Rezki syafrida,"sudah daftar viu premium,tetapi kenapa iklan terus yg Nongol....jd gk nyaman banget untuk nonton 🫣",1,9/29/2023 11:27
Viu,Sul Sul,Iklan ngak ngotak,1,9/29/2023 11:24
Viu,Satrio Utom,"Aplikasi jelek mendingan vidio punya anak bangsa, stop produk import",1,9/29/2023 11:12
Viu,Desri Wulandari,Menurutku viu lebih bagus yg versi lama. Yg sekarang kenapa kalo mau nonton drama layar hp nya jadi otomatis cerah banget.. Gak nyaman dimata.. Loadingnya juga lama gak kaya yg dulu cepet.,3,9/29/2023 11:01
Viu,anisah Icha,"desain aplikasinya lebih bagus yang dulu,kenapa sekarang malah ga bagus? sekarang banyak banget iklannya,saran aja desain aplikasinya kembalikan seperti dulu.....",4,9/29/2023 7:37
Viu,Pesawat Biru,Bukan nonton film nonton iklan yang ada film gak muncul muncul iklan yang muncul terus rugii kalo gini ini,1,9/29/2023 7:13
Viu,Hafizul Khair,Iklannya terlalu banyak baru nonton sebentar udah iklan lagi,2,9/29/2023 6:55
Viu,ARI FURAHMAN,Terlalu banyak iklan,2,9/29/2023 6:07
Viu,Tri Mega Setiawati,Terlalu Banyak iklannya masa 1 episod ikaln ada 20 lebih haduh ini nonton drakor apa nonton iklannya,1,9/29/2023 5:45
Viu,Boy Taurus,"aplikasi nya bagus banget, tolong IKLAN nya di PERBANYAK lagi , dan DURASI IKLAN nya klo bisa 30 menit tanpa tombol SKIP",5,9/29/2023 5:41
Viu,suryantii,"kebanyakan iklan anjj, maksa bgt biar premium njs.",1,9/29/2023 5:26
Viu,Fika,"Aplikasinya bagus , tapi banyak iklan.",3,9/29/2023 5:11
Viu,Ita Martasari,Ada beberapa eps ngk ada sub indo nya Iklan nya kebanyakan,3,9/29/2023 4:32
Viu,Janoko Tuwo,Ikannya sangat mengerikan bukan 1x bahkan sampai 5x dan tidak bisa di sekip mau nonton 1 jam jadi 2jam gara² iklannya parah buang² waktu saja.,1,9/29/2023 4:16
Viu,siva silviana,"Ini aplikasi kenapa sih, udh login udh premium, tapi tbtb logout sendiri, mau login lagi kok gak ada pilihan login, cuman ada pilihan daftar aja, plis ini kalo kalian gak berbenah lu bisa ditinggalin banyak pengguna setia lo, di era bersaing gini malah aplikasi kok jadi gak jelas.",1,9/29/2023 2:27
Viu,izza izzy TV,Gil* dalam satu vidio kalau ditotal bisa 100 iklan gk kayk kompetitor dan sekali iklan bisa 5 dan di putar dlm 1 menit sekali,1,9/29/2023 1:18
Viu,Bayu Prameswara Haris,"Kalaupun sudah diupdate harusnya jangan lamain lah loading buat nonton video, dah kutunggu 10 menit juga masih ngeloading. Tolong lah diperbaiki seperti itu, iklan juga kena harus sampai 1 menit padahal sebelumnya hanya 30 detik doang, nanti banyak pula yang tidak akan menggunakan aplikasinya ini",1,9/29/2023 0:50
Viu,prissi suciati,Desian aplikasi baru buruk. Semenjak pakai desain yang baru akun yang sudah tertautkan jadi suka keluar sendiri. Masih bagusan desain aplikasi yang lama.,1,9/28/2023 23:11
Viu,Aliya Septiani,Lebih suka VIU VERSI LAMA.DARI PADA YANG SEKARANG!,1,9/28/2023 23:06
Viu,Herniwati,Aku. Senang sekali. Sekaligus sedih drama mengharukan ini lho,5,9/28/2023 19:55
Viu,Madz,"banyak iklan, jadi ga nyaman nonton nya",5,9/28/2023 17:01
Viu,Pajar18,"Betulin lagi dong itu iklanya ga normal banget, masa setiap mau nonton iklan muncul hampir 6 kali bahkan lebih, benerin yang wajar aja itu iklanya",4,9/28/2023 16:26
Viu,herta ramadani,iklannya sih agak2,4,9/28/2023 16:23
Viu,Ocha Ruby,Dear viu Awalnya sy suka liat ini. Tp skr agak malas. Iklan lebih banyak 3x lipat dari biasanya. Biasanya di awal iklan hanya 2atau 3 ini sampai 7. Lalu biasanya 10 menit iklan 1 ini tiap 5 menit 3 iklan. Tdk ada opsi lewati iklan juga. Sungguh semakin tdk nyaman. Tolong diperbaiki. Kembalikan spt Dulu.terima kasih.,1,9/28/2023 16:17
Viu,Heker Indonesia,Kebyakn iklan bagi kalian yg suka nonton iklan di sini tempat y udah paling bnr .,1,9/28/2023 15:42
Viu,S Riski,"Kebanyakan iklan , jadi pas nonton film yg bagus jadi greget sendiri , iklannya kadang smpe empat kali stiap beberapa menit nnton , ya udah aku hapus LG deh viu nya",2,9/28/2023 15:30
Viu,2N FUNNY,Iklan ganggu banget,2,9/28/2023 14:49
Viu,ramdani rahmat sobari,terlalu banyak iklan,2,9/28/2023 14:34
Viu,Riska Nadila,"Kebanyakan iklan, Dalam 1 episode ada sekitar 80 iklan durasi 30 detik",1,9/28/2023 14:30
Viu,Arin A,Mohon sedikit kan iklannya itu menggangu kenyamanan!!!!,1,9/28/2023 14:29
Viu,Elmi Zakiyah,"Sumpah ya viu mau premium atau kagak sama aja BANYAK IKLAN NYA Kesel banget, iklan nya bisa sampe 9x Dikirain cuma w doang ternyata pas liat review ulasan pengguna viu banyak yg ngasih saran kurang baik (mon maap nih sebelumnya) tapi emang kenyataannya ya kan wir😤",1,9/28/2023 14:05
Viu,Irvita Rahma Sari,saran says tambahin anime nya soalnya belum banyak aplikasi yang nyediain anime legal,3,9/28/2023 13:59
Viu,Janisha Jaya,Its okay now,5,9/28/2023 13:40
Viu,Nayla Salsabila,bagus tampilan lyr ny setelah di update.. pokoknya ak ksh rate 5 😄,5,9/28/2023 13:36
Viu,Andi Susyanto (Andi),Ya aku suka,5,9/28/2023 13:16
Viu,Esti,"Kenapa versi sekarang malah jadi kurang bagus ya, sayang banget loh.. Padahal saya udah pake viu tahunan,udah bayar premium, loading terus. Di komen malah bilang wifi rumah udah support untuk viu blm? Netflix, disney hotstar saya pake semua wifi rumah bagus ga loading. Versi baru viu bukan malah jdi lebih baik, kok malah banyak keluhan. Makasih",2,9/28/2023 12:47
Viu,Widya Pratiwi,UDAH PREMIUM MASIH HARUS NONTON IKLAN BERULANG KALI!!!,1,9/28/2023 12:46
Viu,amel lia,"semakin ga mutu..... !!!! film baru keputer 4 detik udh iklan ajh.... dan iklannya berulang kali.... ga gini cara memperlakukan pengguna yg maunya gratisan,mending skalian gausah nyediain layanan gratis...huuuu",1,9/28/2023 11:57
Viu,Humaira Meirina,Bagusan versi lama. Yg skrg masih nongol iklan padahal udh premi. Lbh ribet tampilan yg skrg. Akun saya udh premi tapi iklan masih muncul dan disuruh masuk akun lagi tapi yg ada pilihan cuma daftar. Aneh banget.,1,9/28/2023 11:24
Viu,Endah channel,Ini sih Streaming iklan bukan streaming drama😒,1,9/28/2023 11:21
Viu,Rusmaliani Sari,"Belum menemukan kelebihan viu versi baru ini, lebih baik versi sebelumnya, yg ini ga bangett",2,9/28/2023 11:18
Viu,Chui Jisoonie,Tampilannya lebih enak yang lama lebih simpel enak dilihat sekarang kalo mau nonton kek susah nyari riwayat tontonan kita yg sebelumnya pokoknya lebih bagus yg dulu. apalagi yg sekarang banyak iklan sumpah itu sih yang paling ngeselin banget serius berasa baru ngedip dah iklan mana banyak banget tuh iklan ga kayak dulu. ya meskipun ga premium tolonglah its ok ada iklan tp jangan sebanyak itu juga bikin mood rusak asli yg tadinya excited ngedrakor jd badmood parah si BALIKIN VIU YANG DULU!!!!!!,1,9/28/2023 11:08
Viu,Sue 234,Kebanyakan oy ikan nya,1,9/28/2023 10:45
Viu,Fathir Muhammad Wildan,"Iklan nya banyak bat, masa hampir 5 menit lebih tuh iklan dalam 1 video",2,9/28/2023 10:34
Viu,Nur Aisahh,Terlalu banyak iklan😑,3,9/28/2023 10:02
Viu,yamin ash,Kalo ngasih iklan ngotak lah masa iya setiap 5 menit sekali,1,9/28/2023 9:59
Viu,Syarifudin eka,kualitas gambar emang bagus tapi kalo bukan member premium iklanya uhh 4x 15 detik jangan donlod nanti nyesel khusu untuk para sultan,1,9/28/2023 9:59
Viu,Aldi Sata,"Aplikasi dgn iklan terbanyak, saranku jgn terlalu banyak iklannya kak. Sekian itu saja",1,9/28/2023 9:52
Viu,Devi Ratnasari,"Terlalu banyak iklan, ngeselin. Nonton cuma berapa menit, iklan nya ngabisin waktu ...",1,9/28/2023 9:21
Viu,Ni Komang Suli Tirta Pratiwi,Terlalu banyak iklan,3,9/28/2023 9:03
Viu,Junaidi Junai,"Ngeri banget iklan ny baru nonton bberapa detik lngsung ad iklan,mana iklan ny di ulang smpe 3-4 kali lagi🤦🤦",2,9/28/2023 8:43
Viu,Nanda Purwanti,"Terlalu banyak iklan nya jadi gak bisa fokus buat nonton drakor nya trus kalau premium perbulan terlalu mahal belum lagi beli koutanya bagi kami seorang mahasiswa setiap bulan segitu juga sulit kan niatnya nonton itu buat referensing biar gak terlalu pusing mikir pelajaran malah tambah pusing karna pas adegan seru""nya malah iklan muncul 😓",1,9/28/2023 8:01
Viu,Fhatihalla F,"Update terbaru apk sering bug. Lodingnya lama karena menunggu iklan muncul dahulu, terkadang bisa lebih dari 5 menit menunggu iklan muncul. Mohon diperbaiki dan tampilan versi terbaru kurang bagus. Terima kasih.",1,9/28/2023 7:48
Viu,Spider man Hitam,Iklan nya dong kelewatan kali hadehhh kayak mana mau berlangganan premium sementara langganan premiun pun masi iklan hadehhh ktl,1,9/28/2023 7:43
Viu,Lilis 677,Lebih suka versi yg lama. Yg sekarang mau lanjut nonton kadang hilang harus nyari dr awal. Dan iklannya sekali muncul bisa 5smp 6. Tampilannya jg bagusan yg lama.,2,9/28/2023 7:32
Viu,Rizalll,kebanyakan iklan gajelas,2,9/28/2023 7:29
Viu,Warda Amir,"Sebelumnya pembayaran utk berlangganan bisa pake pulsa tapi sekarang gak bisa, mana tampilan yg baru gak enak dilihat.",1,9/28/2023 7:28
Viu,Putri Risma,"Kebanyakan iklan,,di ulang terus,,jadi males",1,9/28/2023 7:28
Viu,Pera sentia,Asu Banyak bgt Iklannya 🥴,1,9/28/2023 7:22
Viu,Pengguna Google,Mau iklan aja loading ke iklan lama banget... Habis iklan loading lagi...lama lagi...behhh lemot,1,9/28/2023 7:10
WeTV,Jalan Jeruk,jadi tambah berat aplikasinya serta ribet/sulit temukan trailer episode berikutnya. Kesimpulan masih lebih baik 1000 kali versi sebelumnya :(,1,1/26/2026 8:02
WeTV,Rohmadi,sebenarnya bagus apk nya cuma kenapa kalo film yang udah di download nonton nya harus pake jaringan lagi percuma dong udah download ngabisin kuota masih tetap make jaringan lagi dahlah hasil download nya cuma bisa di simpan di aplikasi gabisa di simpan di hp mending gausah ada fitur download dah percuma,1,1/26/2026 6:15
WeTV,Kio Rumkabu,di update malah eror keluar2 sendiri,3,1/25/2026 13:59
WeTV,pita imut,banyak film yg di kunci,3,1/25/2026 13:56
WeTV,Idznih Zini,terlalu banyak iklan dan kelamaan iklan kok film serinya sedikit kelanjutannya episode di film² in bos.katanya gratis dan kenapa tidak bisa dibuka ato tidak bisa dinonton.klo disuruh bayar pake data internet paketan bos nak jadi abis data paketan internet kita bos. Tuhan,2,1/25/2026 13:28
WeTV,Achmad Allister,saya sudah belangganan tapi swtiap eps ke 7 kok prabayar lagi sihhh gk masuk akal,1,1/25/2026 13:01
WeTV,yani alkhonsa,"saya pengguna baru, karena dpt gratis VIP dari paket data langganan saya. ternyata, setiap mau login, saya dapat kiriman dari otp yg tdk jelas. dari roket delivery dan juga dari beberapa pinjol sepertinya. bukan dari wetv. dan ketika saya cari info dari tiktok, byk yg spt ini juga. auto blokir dan uninstal aplikasi ini",1,1/25/2026 12:20
WeTV,Noval Asqia,"uang gua udah diambil karena perpanjangan langganan VIP, tapi setelah itu akun aku dikeluarin dan harus login ulang, setelah mencoba login gak bisa. akhirnya berhasil login, tapi setelah itu gak ada aku VIP nya.",1,1/25/2026 10:24
